2025-10-24 14:29:08.155 [background-preinit] INFO  o.h.validator.internal.util.Version - HV000001: Hibernate Validator 8.0.1.Final
2025-10-24 14:29:08.200 [main] INFO  com.kstt.admin.JournalApplication - Starting JournalApplication using Java 17.0.12 with PID 25684 (D:\company\backend\journal\kstt-admin\target\classes started by Administrator in D:\company\backend\journal\kstt-admin)
2025-10-24 14:29:08.200 [main] INFO  com.kstt.admin.JournalApplication - No active profile set, falling back to 1 default profile: "default"
2025-10-24 14:29:09.722 [main] INFO  o.s.b.w.e.tomcat.TomcatWebServer - Tomcat initialized with port(s): 10086 (http)
2025-10-24 14:29:09.731 [main] INFO  o.a.coyote.http11.Http11NioProtocol - Initializing ProtocolHandler ["http-nio-0.0.0.0-10086"]
2025-10-24 14:29:09.734 [main] INFO  o.a.catalina.core.StandardService - Starting service [Tomcat]
2025-10-24 14:29:09.735 [main] INFO  o.a.catalina.core.StandardEngine - Starting Servlet engine: [Apache Tomcat/10.1.15]
2025-10-24 14:29:09.849 [main] INFO  o.a.c.c.C.[Tomcat].[localhost].[/] - Initializing Spring embedded WebApplicationContext
2025-10-24 14:29:09.849 [main] INFO  o.s.b.w.s.c.ServletWebServerApplicationContext - Root WebApplicationContext: initialization completed in 1610 ms
2025-10-24 14:29:11.071 [main] WARN  o.s.b.a.s.s.UserDetailsServiceAutoConfiguration - 

Using generated security password: b2a0c677-76f2-4717-a104-83fe844f5aca

This generated password is for development use only. Your security configuration must be updated before running your application in production.

2025-10-24 14:29:11.554 [main] INFO  o.s.b.a.e.web.EndpointLinksResolver - Exposing 4 endpoint(s) beneath base path '/actuator'
2025-10-24 14:29:11.634 [main] INFO  o.s.s.web.DefaultSecurityFilterChain - Will secure any request with [org.springframework.security.web.session.DisableEncodeUrlFilter@c4551c6, org.springframework.security.web.context.request.async.WebAsyncManagerIntegrationFilter@3a3316b6, org.springframework.security.web.context.SecurityContextHolderFilter@fbbd90c, org.springframework.security.web.header.HeaderWriterFilter@4e85dcb2, org.springframework.web.filter.CorsFilter@4db46344, org.springframework.security.web.authentication.logout.LogoutFilter@4dac40b, org.springframework.security.web.savedrequest.RequestCacheAwareFilter@559e3f67, org.springframework.security.web.servletapi.SecurityContextHolderAwareRequestFilter@6d9428f3, org.springframework.security.web.authentication.AnonymousAuthenticationFilter@56c6d515, org.springframework.security.web.session.SessionManagementFilter@6d7865d6, org.springframework.security.web.access.ExceptionTranslationFilter@1a139347, org.springframework.security.web.access.intercept.AuthorizationFilter@2d73767e]
2025-10-24 14:29:12.118 [main] INFO  o.a.coyote.http11.Http11NioProtocol - Starting ProtocolHandler ["http-nio-0.0.0.0-10086"]
2025-10-24 14:29:12.142 [main] INFO  o.s.b.w.e.tomcat.TomcatWebServer - Tomcat started on port(s): 10086 (http) with context path ''
2025-10-24 14:29:12.162 [main] INFO  com.kstt.admin.JournalApplication - Started JournalApplication in 4.459 seconds (process running for 4.821)
2025-10-24 14:29:13.146 [http-nio-0.0.0.0-10086-exec-2] INFO  o.a.c.c.C.[Tomcat].[localhost].[/] - Initializing Spring DispatcherServlet 'dispatcherServlet'
2025-10-24 14:29:13.550 [http-nio-0.0.0.0-10086-exec-2] WARN  o.s.c.LocalVariableTableParameterNameDiscoverer - Using deprecated '-debug' fallback for parameter name resolution. Compile the affected code with '-parameters' instead or avoid its introspection: com.kstt.admin.controller.sys.SysUserController
2025-10-24 14:29:13.632 [http-nio-0.0.0.0-10086-exec-2] WARN  o.s.c.LocalVariableTableParameterNameDiscoverer - Using deprecated '-debug' fallback for parameter name resolution. Compile the affected code with '-parameters' instead or avoid its introspection: com.kstt.admin.controller.sys.SysRoleController
2025-10-24 14:29:13.658 [http-nio-0.0.0.0-10086-exec-2] WARN  o.s.c.LocalVariableTableParameterNameDiscoverer - Using deprecated '-debug' fallback for parameter name resolution. Compile the affected code with '-parameters' instead or avoid its introspection: com.kstt.admin.controller.sys.SysMenuController
2025-10-24 14:29:13.672 [http-nio-0.0.0.0-10086-exec-2] WARN  o.s.c.LocalVariableTableParameterNameDiscoverer - Using deprecated '-debug' fallback for parameter name resolution. Compile the affected code with '-parameters' instead or avoid its introspection: com.kstt.admin.controller.sys.SysInfoController
2025-10-24 14:29:13.697 [http-nio-0.0.0.0-10086-exec-2] WARN  o.s.c.LocalVariableTableParameterNameDiscoverer - Using deprecated '-debug' fallback for parameter name resolution. Compile the affected code with '-parameters' instead or avoid its introspection: com.kstt.admin.controller.notices.NoticeController
2025-10-24 14:29:13.706 [http-nio-0.0.0.0-10086-exec-2] WARN  o.s.c.LocalVariableTableParameterNameDiscoverer - Using deprecated '-debug' fallback for parameter name resolution. Compile the affected code with '-parameters' instead or avoid its introspection: com.kstt.admin.controller.journal.JournalController
2025-10-24 14:29:13.729 [http-nio-0.0.0.0-10086-exec-2] WARN  o.s.c.LocalVariableTableParameterNameDiscoverer - Using deprecated '-debug' fallback for parameter name resolution. Compile the affected code with '-parameters' instead or avoid its introspection: com.kstt.admin.controller.contact.ContactMessageController
2025-10-24 14:29:13.751 [http-nio-0.0.0.0-10086-exec-2] WARN  o.s.c.LocalVariableTableParameterNameDiscoverer - Using deprecated '-debug' fallback for parameter name resolution. Compile the affected code with '-parameters' instead or avoid its introspection: com.kstt.admin.controller.contact.ContactFaqController
2025-10-24 14:29:13.765 [http-nio-0.0.0.0-10086-exec-2] WARN  o.s.c.LocalVariableTableParameterNameDiscoverer - Using deprecated '-debug' fallback for parameter name resolution. Compile the affected code with '-parameters' instead or avoid its introspection: com.kstt.admin.controller.articles.ArticleController
2025-10-24 14:29:13.777 [http-nio-0.0.0.0-10086-exec-2] WARN  o.s.c.LocalVariableTableParameterNameDiscoverer - Using deprecated '-debug' fallback for parameter name resolution. Compile the affected code with '-parameters' instead or avoid its introspection: com.kstt.admin.controller.articles.ArticleProcessController
2025-10-24 14:29:13.820 [http-nio-0.0.0.0-10086-exec-2] WARN  o.s.c.LocalVariableTableParameterNameDiscoverer - Using deprecated '-debug' fallback for parameter name resolution. Compile the affected code with '-parameters' instead or avoid its introspection: com.kstt.admin.controller.articles.ArticleReviewInvitationController
2025-10-24 14:29:13.857 [http-nio-0.0.0.0-10086-exec-2] WARN  o.s.c.LocalVariableTableParameterNameDiscoverer - Using deprecated '-debug' fallback for parameter name resolution. Compile the affected code with '-parameters' instead or avoid its introspection: com.kstt.admin.controller.articles.ArticleAuthorController
2025-10-24 14:29:13.871 [http-nio-0.0.0.0-10086-exec-2] WARN  o.s.c.LocalVariableTableParameterNameDiscoverer - Using deprecated '-debug' fallback for parameter name resolution. Compile the affected code with '-parameters' instead or avoid its introspection: com.kstt.admin.controller.about.AboutEditorialTeamController
2025-10-24 14:29:14.038 [http-nio-0.0.0.0-10086-exec-2] WARN  o.s.c.LocalVariableTableParameterNameDiscoverer - Using deprecated '-debug' fallback for parameter name resolution. Compile the affected code with '-parameters' instead or avoid its introspection: com.kstt.sys.controller.AuthController
2025-10-24 14:29:14.601 [http-nio-0.0.0.0-10086-exec-2] INFO  o.s.api.AbstractOpenApiResource - Init duration for springdoc-openapi is: 1355 ms
